evaluation_id,customer_tweet_id,customer_message,true_intent,predicted_intent,classifier_margin,top_similarity,draft_reply,evidence_used,escalate,escalation_reason,source,previous_message,has_context,intent,model_text,correct,auto_handled,id_str,has_generated_reply,judge_completed,judge_relevance,judge_grounding,judge_helpfulness,judge_overall_quality,judge_unsupported_claim,judge_short_reason,judge_major_issue
13,2276968.0,Hey @115858 it’s really hard to sound serious when yelling at a company through message and every other word is I️  ...Get your shit together please. Me at least want to look intellectual whilst yelling.,display_input,display_input,0.3412153305656299,0.595966100692749,"We want to help you get this resolved. We've recently released an update to address these issues. Please back up your device and update. Here's how to back up: https://t.co/tHicJHB57O Once complete, tap Settings > General > Software Update.","[""Identified the 'I' autocorrect bug and provided the standard resolution of backing up and updating the iOS software via Settings > General > Software Update.""]",True,No sufficiently similar historical support case was retrieved.,to_generate,,False,display_input,Hey @115858 it’s really hard to sound serious when yelling at a company through message and every other word is I️  ...Get your shit together please. Me at least want to look intellectual whilst yelling.,True,False,2276968.0,True,True,5.0,5.0,5.0,5.0,0.0,"The AI-generated reply directly addresses the customer's issue with the 'I' autocorrect bug by advising them to update their device, which is fully supported by the historical evidence in Case 1.",none
14,2799435.0,@115858 @6990 why isn’t FaceTime working right now? I need to see @107462 face 😭😭😭,apple_services,connectivity,0.009491710406241,0.8978433609008789,"We'd love to help get FaceTime working for you. Could you let us know what device and software version you are using, and what exactly happens when you try to make a call?","[""Historical responses consistently ask the customer for their device model, software version, and specific details or error messages regarding the FaceTime issue.""]",True,The intent classifier is not sufficiently confident.,to_generate,,False,apple_services,@115858 @6990 why isn’t FaceTime working right now? I need to see @107462 face 😭😭😭,False,False,2799435.0,True,True,5.0,5.0,5.0,5.0,0.0,"The reply is highly relevant, helpful, and strongly grounded in the historical cases, asking for the device, software version, and specific symptoms.",none
15,2710516.0,Anyone know how to covert an existing iCloud account to a child account? My kids would hate to lose any game data. cc @AppleSupport,account_authentication,account_authentication,0.7881452816248701,0.6076396703720093,We'd love to help you with your family's iCloud accounts and make sure no game data is lost. Please join us in DM so we can gather more details and guide you through this: https://t.co/GDrqU22YpT,"[""Historical responses for complex account management and child-related iCloud setups recommend moving to DM to gather more details and provide the best guidance.""]",True,No sufficiently similar historical support case was retrieved. The issue may require account- or device-specific investigation.,to_generate,,False,account_authentication,Anyone know how to covert an existing iCloud account to a child account? My kids would hate to lose any game data. cc @AppleSupport,True,False,2710516.0,True,True,5.0,5.0,4.0,4.0,0.0,"The reply politely invites the customer to DM to resolve their specific account migration issue, which is consistent with how Apple Support handles complex account queries in the provided cases.",none
16,1761253.0,HOW COME WHENEVER I️ TYPE THE LETTER I️ IT DOES THIS QUESTIONS MARK BULLLLSHIT @123765 @115858,display_input,display_input,1.1456075948037934,0.8072870969772339,Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,"[""Identified a recurring issue where typing the letter 'I' results in a question mark, which AppleSupport historically resolved by sharing a specific workaround link (https://t.co/xXaXeeSRt9).""]",False,The issue has sufficient intent confidence and relevant historical support evidence for automated handling.,to_generate,,False,display_input,HOW COME WHENEVER I️ TYPE THE LETTER I️ IT DOES THIS QUESTIONS MARK BULLLLSHIT @123765 @115858,True,True,1761253.0,True,True,5.0,5.0,5.0,5.0,0.0,"The reply is highly relevant, perfectly grounded in historical cases, and provides the exact helpful link needed to resolve the known iOS autocorrect issue.",none
17,1819155.0,"@115858 the new update is ass. GPS doesn’t work, music controls don’t work, Apple Watch won’t connect, speaker phone doesn’t work.",device_hardware,apple_services,0.0088178167268152,0.7557592988014221,"We'd love to assist you with the issues you're experiencing after the update. Please DM us with more details, including your iOS version, so we can help. https://t.co/GDrqU22YpT","[""Historical responses to post-update issues consistently direct customers to DM to provide more details, such as their iOS version or specific symptoms, using a support link.""]",True,The intent classifier is not sufficiently confident.,to_generate,,False,device_hardware,"@115858 the new update is ass. GPS doesn’t work, music controls don’t work, Apple Watch won’t connect, speaker phone doesn’t work.",False,False,1819155.0,True,True,5.0,5.0,5.0,5.0,0.0,"The AI-generated reply is highly relevant, polite, and directly addresses the customer's issues after the update. It is strongly grounded in the provided historical cases, which frequently ask for more details or the iOS version via DM.",none
18,1597353.0,Can someone tell me why my tweet looks like this??? @115858 b/c I️ just updated my phone twice .. #replytweet some1 https://t.co/qZ4cyQwvQG,display_input,audio,0.0125533243482225,0.8007990717887878,We're here to help. Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9. Please DM us with your iPhone model and iOS version so we can look into this with you.,"[""Provided a workaround link for the character display issue and requested the customer DM their iPhone model and iOS version for further assistance.""]",True,The intent classifier is not sufficiently confident.,to_generate,I️ just spent 15 minutes doing my eyebrows for work tonight .. I️ better make $300,True,display_input,Previous message: I️ just spent 15 minutes doing my eyebrows for work tonight .. I️ better make $300 Customer message: Can someone tell me why my tweet looks like this??? @115858 b/c I️ just updated my phone twice .. #replytweet some1 https://t.co/qZ4cyQwvQG,False,False,1597353.0,True,True,5.0,5.0,5.0,5.0,0.0,The reply directly addresses the customer's issue with a valid workaround link from the historical cases and asks for relevant troubleshooting details.,none
19,511125.0,@AppleSupport help I got a green line on the left side of my iPhone X screen and restarting it doesn’t make it go away,display_input,apple_services,0.0039413775680018,0.9204666018486024,We'd like to help with the green line on your iPhone X. Please send us a DM with your location and the iOS version you are currently running so we can investigate further. https://t.co/GDrqU22YpT,"[""Historical responses consistently direct customers with iPhone X green line issues to DM, asking for their location and iOS version to troubleshoot further.""]",True,The intent classifier is not sufficiently confident.,to_generate,,False,display_input,@AppleSupport help I got a green line on the left side of my iPhone X screen and restarting it doesn’t make it go away,False,False,511125.0,True,True,5.0,5.0,5.0,5.0,0.0,"The AI-generated reply is highly relevant, perfectly grounded in the historical cases, helpful, and contains no unsupported claims.",none
20,174978.0,"@AppleSupport why offer app ""controls"" in a managed account when apple apps mysteriously enable themselves when login back, such as safari? #unbelievable",apps_app_store,apps_app_store,0.0828441119458763,0.6056705713272095,We're here for you. Let's take a look at this further for you. Reach out to us in DM.,"[""Invited the customer to DM to investigate further, following the pattern used for account and app management issues.""]",True,The intent classifier is not sufficiently confident. No sufficiently similar historical support case was retrieved.,to_generate,,False,apps_app_store,"@AppleSupport why offer app ""controls"" in a managed account when apple apps mysteriously enable themselves when login back, such as safari? #unbelievable",True,False,174978.0,True,True,4.0,5.0,4.0,4.0,0.0,"The reply appropriately invites the customer to DM to troubleshoot the complex managed account issue further, which is strongly supported by the historical cases.",none
21,1890537.0,"@115858 please say your developers are hard at work on iOS 11.0.4 so that my headphones, charger and volume buttons work again, ughhhh 🙄🙄🙄🙄🙄",audio,apple_services,0.0092618033063077,0.8073241114616394,"We want your device to work seamlessly. Join us in DM with more details about what's happening, and we'll take a look into this with you. https://t.co/GDrqU22YpT","[""Synthesized historical responses where Apple Support invites customers experiencing iOS 11 issues (such as volume buttons and headphone support) to DM with details to find a solution.""]",True,The intent classifier is not sufficiently confident.,to_generate,,False,audio,"@115858 please say your developers are hard at work on iOS 11.0.4 so that my headphones, charger and volume buttons work again, ughhhh 🙄🙄🙄🙄🙄",False,False,1890537.0,True,True,5.0,5.0,4.0,4.0,0.0,"The reply is polite, relevant, and strongly grounded in the provided historical cases, offering a standard DM transition to troubleshoot the issues.",none
22,34645.0,@AppleSupport It's 10.3.3. Although I'm convinced it's a screen issue rather than a software one.,display_input,ios_update,0.0127603244114712,0.8001580834388733,Understood. Let's hop in DM to look into this screen issue and continue there. Click here: https://t.co/GDrqU22YpT,"[""Recognized the pattern of moving the customer to DM (using the link https://t.co/GDrqU22YpT) when they are on iOS 10.3.3 to further isolate and troubleshoot their specific issue.""]",True,The intent classifier is not sufficiently confident.,to_generate,@123511 We're happy to help. What version of iOS are you currently running? Find that in Settings &gt; General &gt; About.,True,display_input,Previous message: @123511 We're happy to help. What version of iOS are you currently running? Find that in Settings &gt; General &gt; About. Customer message: @AppleSupport It's 10.3.3. Although I'm convinced it's a screen issue rather than a software one.,False,False,34645.0,True,True,5.0,5.0,5.0,5.0,0.0,"The AI-generated reply is highly relevant, directly addressing the customer's concern about a screen issue. It is well-grounded in the historical cases (specifically Case 1) and provides an appropriate next step by inviting the customer to DM.",none
23,1659223.0,"@AppleSupport Hello everyone, how do I unlock my account if I do not know the trust number? https://t.co/0fYns2ZzEA",account_authentication,apple_services,0.015068722566164,0.7904198169708252,"We know how important it is to have access to your account. If you do not know your trusted number, you may need the assistance of our specialized Account Security team. Please review the support options on the following page to get started: https://t.co/UJm15vmMM2","[""Directing customers who do not have access to or do not know their trusted phone number to the specialized Account Security support link (https://t.co/UJm15vmMM2).""]",True,The intent classifier is not sufficiently confident.,to_generate,,False,account_authentication,"@AppleSupport Hello everyone, how do I unlock my account if I do not know the trust number? https://t.co/0fYns2ZzEA",False,False,1659223.0,True,True,5.0,5.0,5.0,5.0,0.0,"The reply directly addresses the customer's issue, is fully supported by the historical cases (specifically Case 3), and provides the correct link and next steps.",none
24,2942896.0,@115858 every time I️ use the letter “I️” on my keyboard I️t turns into some weird symbol. IM PISSED,display_input,display_input,1.2444074316617535,0.9245994091033936,"We're here to help. An update has been released that addresses this issue. If you haven't already, back up your device and update to iOS version 11.1.1. For more information, click here: https://t.co/xXaXeeSRt9 DM us if you have questions. https://t.co/GDrqU22YpT","[""Identified the autocorrect bug with the letter 'I' and provided the solution of backing up and updating to iOS 11.1.1, along with the relevant support and DM links from historical responses.""]",False,The issue has sufficient intent confidence and relevant historical support evidence for automated handling.,to_generate,,False,display_input,@115858 every time I️ use the letter “I️” on my keyboard I️t turns into some weird symbol. IM PISSED,True,True,2942896.0,True,True,5.0,5.0,5.0,5.0,0.0,"The AI-generated reply is highly relevant, fully grounded in the historical cases (specifically Case 4), and provides the exact solution and links needed to resolve the customer's issue.",none
25,1866369.0,@AppleSupport @115948 Here are my Apple Music settings: https://t.co/QxyWJRJN8S,apple_services,ios_update,0.0004791844812881,0.8289468884468079,"Thanks for sharing those settings. To help us get a better look at this, what is the exact iOS version you are currently using? You can also send us a DM so we can work together on this: https://t.co/GDrqU22YpT","[""Requested the exact iOS version number and offered to transition the conversation to DM for a deeper investigation, combining patterns from multiple historical responses.""]",True,The intent classifier is not sufficiently confident.,to_generate,@AppleSupport I'm needing help with @115948 after installing iOS 11: https://t.co/6DvDlKXpqz,True,apple_services,Previous message: @AppleSupport I'm needing help with @115948 after installing iOS 11: https://t.co/6DvDlKXpqz Customer message: @AppleSupport @115948 Here are my Apple Music settings: https://t.co/QxyWJRJN8S,False,False,1866369.0,True,True,5.0,5.0,5.0,5.0,0.0,"The reply is highly relevant, polite, and directly addresses the customer's input. It asks for the exact iOS version (which is supported by Case 5) and offers a DM link (supported by Cases 2, 3, and 4) to continue troubleshooting.",none
26,2467693.0,"@AppleSupport Not sure, it def happens when not plugged in. Never replaced screen. Seems it's a common issue/bug w the update",display_input,display_input,0.0098799652152892,0.7751496434211731,We'd like to help look into this display issue with you. Could you let us know which iOS version you're currently using? Please send us a DM so we can continue troubleshooting together. https://t.co/GDrqU22YpT,"[""Historical responses suggest asking for the iOS version and inviting the customer to DM to troubleshoot display issues further.""]",True,The intent classifier is not sufficiently confident.,to_generate,"@142811 Thanks for clarifying for us. Does it happen when plugged in? Also, has the screen ever been replaced?",True,display_input,"Previous message: @142811 Thanks for clarifying for us. Does it happen when plugged in? Also, has the screen ever been replaced? Customer message: @AppleSupport Not sure, it def happens when not plugged in. Never replaced screen. Seems it's a common issue/bug w the update",True,False,2467693.0,True,True,5.0,5.0,5.0,5.0,0.0,"The reply is highly relevant, asking for the iOS version since the customer mentioned an update issue, which is grounded in the historical cases. It provides a clear next step via DM.",none
27,1545207.0,@115858 I want my fucking picture back pull it up on iCloud I don't fuck know figure it the fuck out now cause I'm fucking PISSED!,icloud_backup,account_authentication,0.0114776186800429,0.8293472528457642,We know how important your photos are. Let's get this resolved. Send us a DM so we can look into this together. https://t.co/GDrqU22YpT,"[""Acknowledged the importance of the customer's photos and directed them to DM to safely resolve the issue, matching patterns from similar high-frustration iCloud photo loss cases.""]",True,The intent classifier is not sufficiently confident. The issue may require account- or device-specific investigation.,to_generate,,False,icloud_backup,@115858 I want my fucking picture back pull it up on iCloud I don't fuck know figure it the fuck out now cause I'm fucking PISSED!,False,False,1545207.0,True,True,5.0,5.0,5.0,5.0,0.0,"The AI-generated reply is polite, de-escalating, and directly addresses the customer's issue with lost photos by offering a DM link to resolve it, which is highly consistent with the historical support cases.",none
28,2728298.0,@AppleSupport I have iPhone 7 ios 11 some of my old videos doesn’t work. Keep lodging. I transfer them from old phone to new one using iTunes and icloud backup.,camera_photos,apple_services,0.017528904089096,0.710408091545105,"We'd love to help look into this with you. To get started, which specific version of iOS 11 is currently installed? Also, does this happen in all apps where you view videos, or just a specific one? Send us a DM with these details so we can help.","[""Identified a pattern of asking for the specific iOS 11 version and whether the video playback issue occurs in all apps or a specific one, then directing the customer to DM for further troubleshooting.""]",True,The intent classifier is not sufficiently confident.,to_generate,,False,camera_photos,@AppleSupport I have iPhone 7 ios 11 some of my old videos doesn’t work. Keep lodging. I transfer them from old phone to new one using iTunes and icloud backup.,False,False,2728298.0,True,True,5.0,5.0,5.0,5.0,0.0,"The AI-generated reply is highly relevant, helpful, and strongly grounded in the provided historical cases, asking appropriate clarifying questions to troubleshoot the video playback issue.",none
29,35981.0,@AppleSupport I don’t see the strength training goal option like in the video on my Apple Watch S2,device_hardware,device_hardware,0.2162559530125122,0.6382959485054016,"While Strength Training is not a default option, it can be added to your Apple Watch. Check out how to use ""Name your workout"" to add it here: https://t.co/FJrx17fPef","[""Used historical guidance explaining that Strength Training is not a default workout option but can be added using the 'Name your workout' feature, along with the provided support link.""]",True,The intent classifier is not sufficiently confident. No sufficiently similar historical support case was retrieved. The issue may require account- or device-specific investigation.,to_generate,"#AppleWatch helps you meet your fitness goals. 

Here's how to start a High Intensity Interval Training workout and set a goal. https://t.co/DZXZO1giU2",True,device_hardware,"Previous message: #AppleWatch helps you meet your fitness goals. 

Here's how to start a High Intensity Interval Training workout and set a goal. https://t.co/DZXZO1giU2 Customer message: @AppleSupport I don’t see the strength training goal option like in the video on my Apple Watch S2",True,False,35981.0,True,True,5.0,5.0,5.0,5.0,0.0,"The reply directly addresses the customer's issue by explaining how to add the Strength Training workout option, which is strongly supported by the historical evidence in Case 1.",none
30,2287872.0,@AppleSupport The “done” button will not let me select my picture. It’s covered in the top right corner of the phone with the battery and wifi icons. It gets stuck and I have to close out the app.,display_input,battery_charging,0.0176272220172384,0.7138677835464478,We'd like to help look into this with you. Go ahead and reach out to us in DM and we'll continue there.,"[""Historical responses to similar issues where users cannot tap buttons or select pictures suggest directing the customer to DM to continue troubleshooting.""]",True,The intent classifier is not sufficiently confident.,to_generate,@664705 What's happening when you try to change your profile picture?,True,display_input,Previous message: @664705 What's happening when you try to change your profile picture? Customer message: @AppleSupport The “done” button will not let me select my picture. It’s covered in the top right corner of the phone with the battery and wifi icons. It gets stuck and I have to close out the app.,False,False,2287872.0,True,True,5.0,5.0,4.0,4.0,0.0,The reply is highly relevant and grounded in the historical cases where customers experiencing UI issues with photos are invited to DM. It could be improved by including a direct DM link.,none
